date,tradition,title,epistle,gospel,matins,vespers,other
2030-02-08,slavic,Friday of the 37th week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10",Mark 12.1-12,,,
2030-02-09,greek,Saturday of the 37th week after Pentecost,1 Thessalonians 5.14-23 || Hebrews 7.7-17 ~ Meeting,Luke 17.3-10 || Luke 2.22-40 ~ Meeting,,,
2030-02-09,slavic,Saturday of the 37th week after Pentecost,1 Thessalonians 5.14-23 || Hebrews 7.26-8.2 ~ St John,Luke 17.3-10 || John 10.9-16 ~ St John,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Composite 5 - Wisdom of Solomon 4, 6, 7, 2",
2030-02-10,greek,Sunday of Zacchaeus,2 Corinthians 6.16-7.1 || 2 Timothy 2.1-10 ~ St. Haralambos,Matthew 15.21-28 || John 15.17-16.2 ~ St. Haralambos,4th Matins Gospel :: Luke 24.1-12,,
2030-02-10,slavic,Sunday of Zacchaeus,1 Timothy 4.9-15,Luke 19.1-10,4th Matins Gospel :: Luke 24.1-12,,
2030-02-11,greek,,1 Peter 2.21-3.9 || Hebrews 4.14-5.6 ~ Blaise,"Mark 12.13-17 || Matthew 10.1, 5-8 ~ Blaise",,,
2030-02-11,slavic,,1 Peter 2.21-3.9,Mark 12.13-17,,,
2030-02-12,greek,,1 Peter 3.10-22,Mark 12.18-27,,,
2030-02-12,slavic,,1 Peter 3.10-22 || Hebrews 13.7-16 ~ Hierarchs,Mark 12.18-27 || Matthew 5.14-19 ~ Hierarchs,John 10.9-16,"Deuteronomy 1.8-11, 15-17 || Deuteronomy 10.14-21 || Wisdom of Solomon 3.1-9",
2030-02-13,greek,,1 Peter 4.1-11,Mark 12.28-37,,,
2030-02-13,slavic,,1 Peter 4.1-11,Mark 12.28-37,,,
2030-02-14,greek,,1 Peter 4.12-5.5,Mark 12.38-44,,,
2030-02-14,slavic,,1 Peter 4.12-5.5,Mark 12.38-44,,,
2030-02-15,greek,,2 Peter 1.1-10,Mark 13.1-8,,,
2030-02-15,slavic,,Hebrews 7.7-17 ~ Meeting || 2 Peter 1.1-10,Luke 2.22-40 ~ Meeting || Mark 13.1-8,Luke 2.25-32,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12 || Isaiah 6.1-12 || Composite 7 - Isaiah 19.1, 3, 4-5, 12, 16, 19-21",
2030-02-16,greek,,2 Timothy 2.11-19,Luke 18.2-8,,,
2030-02-16,slavic,,2 Timothy 2.11-19,Luke 18.2-8,,,
