saint_id,kind,tone,text,translation,source_url
OS-1656,Troparion,8,"Having enlightened your soul through unceasing prayers, / your heart was made a vessel of the Holy Spirit, O venerable Father Mercurius, / for courageously you defeated all the enemy soldiers, / and, as a true victor, you received a reward from Christ God. / Pray to Him for our souls.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1656,Kontakion,8,"Your soul was aflame with love for Christ, O venerable Father Mercurius. / In the darkness of the Caves, you found the light of salvation / and, as a chosen child of the great Fathers of the Caves, Anthony and Theodosios, / together with them you inherited a heavenly abode. / Now from there, look mercifully upon the monastery on earth, in which you labored, / and pray for those who revere your memory.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1657,Troparion,3,"Your holy martyr Marinus, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1657,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Marinus; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1658,Troparion,3,"Your holy martyr Asterius, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1658,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Asterius; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1659,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Horus, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1660,Troparion,4,"(Podoben: “Joseph was amazed...”) Your lamb Potamia, / calls out to You, O Jesus, in a loud voice: / “I love You, my Bridegroom, / and in seeking You, I endure suffering. / In baptism I was crucified so that I might reign in You, / and I died so that I might live with You. / Accept me as a pure sacrifice, / for I have offered myself in love.” / Through her prayers save our souls, since You are merciful.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1660,Kontakion,2,"(Podoben: “You sought the heights...”) Finding your most revered temple to be a source of healing for our souls, / we the faithful cry out to You with a loud voice: / “O most renowned Virgin Martyr Potamia, / entreat Christ God unceasingly on behalf of us all.”",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1661,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Dometius, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1662,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Anthony, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1663,Troparion,1,"Leaving behind the things of this earth and taking up the yoke of a solitary, / you were made a bride of Christ, O blessed one. / Through fasting, vigil, and prayer / you were granted heavenly gifts and became like the angels. / You overcame human nature and moved to the heavenly places, / leaving us the consolation of your cave and of your holy relics. / Therefore, O holy and most venerable Mother Theodora, / entreat Christ our God to save our souls.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1663,Kontakion,3,"Come, all of you who love Christ, with faith and piety to honor our righteous Mother Theodora, / who labored zealously in Sihla hermitage and became a beacon of hermits. / Let us praise God and honor His righteous servants saying: / Rejoice, most venerable Mother Theodora, the spiritual flower of Moldavia.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1664,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Nicanor, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
