saint_id,image_path,license,credit,source
OS-0907,icons/permission/legacy-icons/OS-0907.jpg,Permission:legacy-icons,,https://legacyicons.com/hypatius-of-gangra-athos-icon-s300/
OS-1499,icons/permission/legacy-icons/OS-1499.jpg,Permission:legacy-icons,,https://legacyicons.com/pancratius-of-taormina-athos-icon-s318/
OS-1025,icons/permission/legacy-icons/OS-1025.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-theodore-the-trichinas-athos-icon-s513/
OS-1116,icons/permission/legacy-icons/OS-1116.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-monica-mother-of-augustine-icon-s257/
OS-2752,icons/permission/legacy-icons/OS-2752.jpg,Permission:legacy-icons,,https://legacyicons.com/righteous-elizabeth-mother-of-the-forerunner-icon-s339/
OS-2008,icons/permission/legacy-icons/OS-2008.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-martin-of-tours-xvc-icon-s395/
OS-2342,icons/permission/legacy-icons/OS-2342.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-lucia-of-syracuse-fiorenzo-icon-s652/
OS-1081,icons/permission/legacy-icons/OS-1081.jpg,Permission:legacy-icons,,https://legacyicons.com/apostle-james-zebedee-clark-icon-s207/
OS-1782,icons/permission/legacy-icons/OS-1782.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-adrian-and-natalia-stryzhak-icon-s460/
OS-1611,icons/permission/legacy-icons/OS-1611.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-valentine-bishop-of-terni-icon-s457/
OS-1384,icons/permission/legacy-icons/OS-1384.jpg,Permission:legacy-icons,,https://legacyicons.com/apostle-jude-thaddeus-icon-s487/
OS-1330,icons/permission/legacy-icons/OS-1330.jpg,Permission:legacy-icons,,https://legacyicons.com/apostle-bartholomew-clark-icon-s241/
OS-0723,icons/permission/legacy-icons/OS-0723.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-porphyrios-of-gaza-icon-s189/
OS-1533,icons/permission/legacy-icons/OS-1533.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-cyricus-and-julitta-xixc-icon-s365/
OS-0236,icons/permission/legacy-icons/OS-0236.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-boris-and-gleb-xivc-icon-s478/
